Date,CRL(m),Area (km2)
21-09-2023,106.89,11.63
14-09-2023,106.47,10.64
06-09-2023,105.75,10.35
31-08-2023,106.28,10.48
24-08-2023,107.29,9.88
17-08-2023,107.41,9.88
10-08-2023,107.17,11.6
03-08-2023,107.14,11.6
27-07-2023,106.53,10.48
20-07-2023,105.37,10.08
13-07-2023,104.97,9.29
06-07-2023,103.97,6.91
30-06-2023,103.31,6.91
22-06-2023,102.92,6.36
15-06-2023,102.92,6.55
08-06-2023,102.92,6.32
01-06-2023,102.92,6.29
25-05-2023,102.92,6.29
18-05-2023,102.92,7.32
11-05-2023,102.99,7.32
04-05-2023,103.01,7.53
27-04-2023,102.98,6.87
20-04-2023,102.87,6.73
13-04-2023,102.98,7.12
06-04-2023,103.07,7.12
31-03-2023,106.42,6.95
23-03-2023,103.14,7.05
16-03-2023,103.36,6.77
09-03-2023,104.45,6.93
02-03-2023,105.77,6.93
23-02-2023,106.9,10.93
16-02-2023,108.08,10.93
09-02-2023,108.91,13.14
02-02-2023,109.68,14.2
25-01-2023,110.58,11.21
19-01-2023,111.25,16.46
12-01-2023,111.92,16.46
05-01-2023,112.35,16.88
29-12-2022,113,16.88
22-12-2022,113.58,17.38
15-12-2022,113.78,17.37
08-12-2022,114.16,17.37
01-12-2022,114.38,17.45
24-11-2022,114.77,17.45
17-11-2022,114.82,17.51
10-11-2022,114.83,18.05
03-11-2022,114.77,17.51
27-10-2022,114.71,17.33
20-10-2022,114.82,17.33
13-10-2022,114.74,17.61
29-09-2022,114.56,17.72
22-09-2022,114.28,17.86
15-09-2022,114.13,17.86
08-09-2022,114.09,17.06
01-09-2022,114.1,17.06
18-08-2022,113.04,15.32
11-08-2022,112.65,15.32
04-08-2022,111.95,15.95
28-07-2022,111.57,15.95
21-07-2022,111.21,16.65
14-07-2022,109.18,12.63
07-07-2022,106.89,11.27
30-06-2022,105.16,9.27
23-06-2022,105.83,9.27
09-06-2022,106.86,10.24
26-05-2022,106.82,11.45
19-05-2022,106.59,10.82
12-05-2022,106.48,10.78
05-05-2022,106.48,10.78
24-03-2022,106.47,10.06
17-03-2022,106.42,10.06
24-02-2022,107.55,8.91
17-02-2022,108.43,13.2
10-02-2022,109.42,13.2
03-02-2022,110.15,12.25
27-01-2022,110.93,12.25
20-01-2022,111.6,15.29
13-01-2022,112.27,15.66
06-01-2022,112.88,15.66
30-12-2021,113.49,16.66
23-12-2021,113.78,16.66
16-12-2021,114.25,17.27
09-12-2021,114.7,17.85
02-12-2021,114.68,17.36
25-11-2021,114.6,17.51
18-11-2021,114.45,17.51
11-11-2021,114.45,17.5
03-11-2021,114.41,17.56
28-10-2021,114.18,17.56
21-10-2021,114.1,17.32
14-10-2021,113.93,17.32
07-10-2021,113.14,17.27
30-09-2021,112.78,17.27
23-09-2021,112.4,16.06
16-09-2021,112.07,16.82
09-09-2021,111.19,16.36
02-09-2021,110.57,14.58
26-08-2021,110,14.58
19-08-2021,109.64,13.31
12-08-2021,109.21,13.29
05-08-2021,108.69,12.06
29-07-2021,108.17,10.47
22-07-2022,106.1,10.47
15-07-2021,104.82,7.91
08-07-2021,104.7,7.91
01-07-2021,105.16,9.14
24-06-2021,104.76,8.22
17-06-2021,103.8,8.22
10-06-2021,103.88,7.54
03-06-2021,103.85,7.54
27-05-2021,103.85,7.42
20-05-2021,103.72,7.33
13-05-2021,103.51,7.58
06-05-2021,104,7.48
29-04-2021,104.12,7.48
22-04-2021,104.15,7.72
15-04-2021,104.15,7.72
08-04-2021,104.2,8.38
01-04-2021,104.26,7.98
25-03-2021,104.32,7.98
11-03-2021,104.39,9.06
04-03-2021,104.39,8.06
25-02-2021,105.2,9.89
18-02-2021,106.24,9.89
11-02-2021,107.32,6.86
04-02-2021,108.28,6.86
28-01-2021,109.26,13.42
21-01-2021,110.14,13.42
14-01-2021,110.49,12.56
07-01-2021,111.15,15.52
31-12-2020,111.75,7.48
24-12-2020,112.18,8.23
17-12-2020,112.97,17.56
10-12-2020,113.4,14.76
03-12-2020,113.54,14.76
26-11-2020,114.01,16.75
19-11-2020,114.6,16.45
12-11-2020,114.8,16.45
05-11-2020,114.76,17.27
29-10-2020,114.59,17.27
22-10-2020,114.5,17.93
15-10-2020,114.27,18.02
08-10-2020,114.03,17.9
01-10-2022,113.96,17.92
24-09-2020,113.51,17.92
17-09-2020,113.14,17.08
10-09-2020,112.32,17.11
03-09-2020,111.89,16.4
27-08-2020,111.82,15.94
20-08-2020,111.54,15.94
13-08-2020,110.89,14.74
06-08-2020,107.94,14.74
30-07-2020,105.61,9.74
